"","groups"
"ENSG00000006015",2
"ENSG00000006016",2
"ENSG00000006025",2
"ENSG00000006042",1
"ENSG00000006047",2
"ENSG00000006059",2
"ENSG00000006062",2
"ENSG00000006071",2
"ENSG00000006116",2
"ENSG00000006118",1
"ENSG00000006125",1
"ENSG00000006128",2
"ENSG00000006194",2
"ENSG00000006210",2
"ENSG00000006282",2
"ENSG00000006283",2
"ENSG00000006327",1
"ENSG00000006377",2
"ENSG00000006432",2
"ENSG00000006451",1
"ENSG00000006453",2
"ENSG00000006459",2
"ENSG00000006468",1
"ENSG00000006530",2
"ENSG00000006534",2
"ENSG00000006555",2
"ENSG00000006576",2
"ENSG00000006606",2
"ENSG00000006607",2
"ENSG00000006611",2
"ENSG00000006625",1
"ENSG00000006634",2
"ENSG00000006638",2
"ENSG00000006652",2
"ENSG00000006659",2
"ENSG00000006695",2
"ENSG00000006704",2
"ENSG00000006712",1
"ENSG00000006715",2
"ENSG00000006740",2
"ENSG00000006744",2
"ENSG00000006747",2
"ENSG00000006756",2
"ENSG00000006757",2
"ENSG00000006788",2
"ENSG00000006831",2
"ENSG00000006837",2
"ENSG00000007001",2
"ENSG00000007038",2
"ENSG00000007047",2
"ENSG00000007062",2
"ENSG00000007080",1
"ENSG00000007129",2
"ENSG00000007168",1
"ENSG00000007171",2
"ENSG00000007174",2
"ENSG00000007202",1
"ENSG00000007216",2
"ENSG00000007237",1
"ENSG00000007255",1
"ENSG00000007264",2
"ENSG00000007306",2
"ENSG00000007312",2
"ENSG00000007314",2
"ENSG00000007341",2
"ENSG00000007350",2
"ENSG00000007372",2
"ENSG00000007376",2
"ENSG00000007384",2
"ENSG00000007392",1
"ENSG00000007402",2
"ENSG00000007516",2
"ENSG00000007520",1
"ENSG00000007541",1
"ENSG00000007545",2
"ENSG00000007866",1
"ENSG00000007908",2
"ENSG00000007923",2
"ENSG00000007933",1
"ENSG00000007944",2
"ENSG00000007952",2
"ENSG00000007968",2
"ENSG00000008018",3
"ENSG00000008056",1
"ENSG00000008083",2
"ENSG00000008086",2
"ENSG00000008118",2
"ENSG00000008128",2
"ENSG00000008130",2
"ENSG00000008196",2
"ENSG00000008197",2
"ENSG00000008226",2
"ENSG00000008256",2
"ENSG00000008277",2
"ENSG00000008282",1
"ENSG00000008283",2
"ENSG00000008294",1
"ENSG00000008300",2
"ENSG00000008311",2
"ENSG00000008323",2
"ENSG00000008324",2
"ENSG00000008382",2
"ENSG00000008394",1
"ENSG00000008405",2
"ENSG00000008438",2
"ENSG00000008441",1
"ENSG00000008513",1
"ENSG00000008516",2
"ENSG00000008517",2
"ENSG00000008710",1
"ENSG00000008735",1
"ENSG00000008838",1
"ENSG00000008853",2
"ENSG00000008869",2
"ENSG00000008952",1
"ENSG00000008988",3
"ENSG00000009307",3
"ENSG00000009335",2
"ENSG00000009413",2
"ENSG00000009694",2
"ENSG00000009709",2
"ENSG00000009724",2
"ENSG00000009765",2
"ENSG00000009780",2
"ENSG00000009790",2
"ENSG00000009830",2
"ENSG00000009844",2
"ENSG00000009950",1
"ENSG00000009954",1
"ENSG00000010017",2
"ENSG00000010030",2
"ENSG00000010072",2
"ENSG00000010165",2
"ENSG00000010219",2
"ENSG00000010244",2
"ENSG00000010256",3
"ENSG00000010270",2
"ENSG00000010278",1
"ENSG00000010282",1
"ENSG00000010292",1
"ENSG00000010295",2
"ENSG00000010310",2
"ENSG00000010318",2
"ENSG00000010319",2
"ENSG00000010322",1
"ENSG00000010327",2
"ENSG00000010361",2
"ENSG00000010379",2
"ENSG00000010404",1
"ENSG00000010438",2
"ENSG00000010539",2
"ENSG00000010610",2
"ENSG00000010626",2
"ENSG00000010671",2
"ENSG00000010704",2
"ENSG00000010803",2
"ENSG00000010810",1
"ENSG00000010818",2
"ENSG00000010932",2
"ENSG00000011007",2
"ENSG00000011009",1
"ENSG00000011021",2
"ENSG00000011028",1
"ENSG00000011083",2
"ENSG00000011105",1
"ENSG00000011114",2
"ENSG00000011132",2
"ENSG00000011143",2
"ENSG00000011198",2
"ENSG00000011201",2
"ENSG00000011243",1
"ENSG00000011258",2
"ENSG00000011260",2
"ENSG00000011275",2
"ENSG00000011295",2
"ENSG00000011304",1
"ENSG00000011332",2
"ENSG00000011347",1
"ENSG00000011376",2
"ENSG00000011405",2
"ENSG00000011422",2
"ENSG00000011426",1
"ENSG00000011451",2
"ENSG00000011454",2
"ENSG00000011465",3
"ENSG00000011478",2
"ENSG00000011485",2
"ENSG00000011523",2
"ENSG00000011566",2
"ENSG00000011590",2
"ENSG00000011600",2
"ENSG00000011638",1
"ENSG00000011677",2
"ENSG00000012048",2
"ENSG00000012061",2
"ENSG00000012124",1
"ENSG00000012174",2
"ENSG00000012211",2
"ENSG00000012223",2
"ENSG00000012232",2
"ENSG00000012504",2
"ENSG00000012660",1
"ENSG00000012779",2
"ENSG00000012817",2
"ENSG00000012822",1
"ENSG00000012963",2
"ENSG00000012983",2
"ENSG00000013016",1
"ENSG00000013275",1
"ENSG00000013288",2
"ENSG00000013293",2
"ENSG00000013297",2
"ENSG00000013306",1
"ENSG00000013364",2
"ENSG00000013374",2
"ENSG00000013375",2
"ENSG00000013392",2
"ENSG00000013441",1
"ENSG00000013503",2
"ENSG00000013523",2
"ENSG00000013561",2
"ENSG00000013563",2
"ENSG00000013573",2
"ENSG00000013583",1
"ENSG00000013588",2
"ENSG00000013619",2
"ENSG00000013725",2
"ENSG00000013810",1
"ENSG00000014123",2
"ENSG00000014138",2
"ENSG00000014164",2
"ENSG00000014216",1
"ENSG00000014257",2
"ENSG00000014641",3
"ENSG00000014824",1
"ENSG00000014914",2
"ENSG00000014919",2
"ENSG00000015133",2
"ENSG00000015153",2
"ENSG00000015171",1
"ENSG00000015285",2
"ENSG00000015413",2
"ENSG00000015475",2
"ENSG00000015479",1
"ENSG00000015520",2
"ENSG00000015532",2
"ENSG00000015568",2
"ENSG00000015592",1
"ENSG00000015676",2
"ENSG00000016082",2
"ENSG00000016391",2
"ENSG00000016402",2
"ENSG00000016490",2
"ENSG00000016602",2
"ENSG00000016864",1
"ENSG00000017260",1
"ENSG00000017427",2
"ENSG00000017483",2
"ENSG00000017797",2
"ENSG00000018189",1
"ENSG00000018236",1
"ENSG00000018280",2
"ENSG00000018408",2
"ENSG00000018510",2
"ENSG00000018610",2
"ENSG00000018625",1
"ENSG00000018699",2
"ENSG00000018869",2
"ENSG00000019102",2
"ENSG00000019144",2
"ENSG00000019169",2
"ENSG00000019186",2
"ENSG00000019485",2
"ENSG00000019505",1
"ENSG00000019549",1
"ENSG00000019582",3
"ENSG00000019991",2
"ENSG00000019995",2
"ENSG00000020129",1
"ENSG00000020181",1
"ENSG00000020256",2
"ENSG00000020426",2
"ENSG00000020577",2
"ENSG00000020633",2
"ENSG00000020922",2
"ENSG00000021300",2
"ENSG00000021355",2
"ENSG00000021461",2
"ENSG00000021488",2
"ENSG00000021574",2
"ENSG00000021645",2
"ENSG00000021762",2
"ENSG00000021776",2
"ENSG00000021826",3
"ENSG00000021852",3
"ENSG00000022267",3
"ENSG00000022277",1
"ENSG00000022355",1
"ENSG00000022556",2
"ENSG00000022567",2
"ENSG00000022840",1
"ENSG00000022976",2
"ENSG00000023041",1
"ENSG00000023171",1
"ENSG00000023191",2
"ENSG00000023228",1
"ENSG00000023287",1
"ENSG00000023318",1
"ENSG00000023330",1
"ENSG00000023445",2
"ENSG00000023516",2
"ENSG00000023572",2
"ENSG00000023608",2
"ENSG00000023697",2
"ENSG00000023734",3
"ENSG00000023839",2
"ENSG00000023892",2
"ENSG00000023902",2
"ENSG00000023909",2
"ENSG00000024048",2
"ENSG00000024422",1
"ENSG00000024526",2
"ENSG00000024862",2
"ENSG00000025039",1
"ENSG00000025156",1
"ENSG00000025293",2
"ENSG00000025423",3
"ENSG00000025434",2
"ENSG00000025708",2
"ENSG00000025770",1
"ENSG00000025772",2
"ENSG00000025796",1
"ENSG00000025800",2
"ENSG00000026025",3
"ENSG00000026103",2
"ENSG00000026297",2
"ENSG00000026508",2
"ENSG00000026559",2
"ENSG00000026652",2
"ENSG00000026751",2
"ENSG00000026950",2
"ENSG00000027001",2
"ENSG00000027075",2
"ENSG00000027644",2
"ENSG00000027697",1
"ENSG00000027847",2
"ENSG00000027869",2
"ENSG00000028116",2
"ENSG00000028137",2
"ENSG00000028203",2
"ENSG00000028277",2
"ENSG00000028310",2
"ENSG00000028528",2
"ENSG00000028839",2
"ENSG00000029153",2
"ENSG00000029363",1
"ENSG00000029364",2
"ENSG00000029534",1
"ENSG00000029559",2
"ENSG00000029639",2
"ENSG00000029725",1
"ENSG00000029993",1
"ENSG00000030066",2
"ENSG00000030110",2
"ENSG00000030304",2
"ENSG00000030419",2
"ENSG00000030582",1
"ENSG00000031003",2
"ENSG00000031081",2
"ENSG00000031691",2
"ENSG00000031698",1
"ENSG00000031823",2
"ENSG00000032219",2
"ENSG00000032389",2
"ENSG00000032444",2
"ENSG00000032742",2
"ENSG00000033011",2
"ENSG00000033030",2
"ENSG00000033050",2
"ENSG00000033100",2
"ENSG00000033122",2
"ENSG00000033170",2
"ENSG00000033178",2
"ENSG00000033327",2
"ENSG00000033627",2
"ENSG00000033800",2
"ENSG00000033867",2
"ENSG00000034053",1
"ENSG00000034152",1
"ENSG00000034239",2
"ENSG00000034510",4
"ENSG00000034533",2
"ENSG00000034677",1
"ENSG00000034693",2
"ENSG00000034713",3
"ENSG00000034971",2
"ENSG00000035115",2
"ENSG00000035141",1
"ENSG00000035403",1
"ENSG00000035499",2
"ENSG00000035664",2
"ENSG00000035681",2
"ENSG00000035687",2
"ENSG00000035720",2
"ENSG00000035862",1
"ENSG00000035928",2
"ENSG00000036054",2
"ENSG00000036257",2
"ENSG00000036448",1
"ENSG00000036473",1
"ENSG00000036530",2
"ENSG00000036549",2
"ENSG00000036565",2
"ENSG00000036672",2
"ENSG00000036828",2
"ENSG00000037042",1
"ENSG00000037241",2
"ENSG00000037280",2
"ENSG00000037474",2
"ENSG00000037637",2
"ENSG00000037749",2
"ENSG00000037757",2
"ENSG00000037897",2
"ENSG00000037965",2
"ENSG00000038002",2
"ENSG00000038210",2
"ENSG00000038219",2
"ENSG00000038274",2
"ENSG00000038295",2
"ENSG00000038358",2
"ENSG00000038382",2
"ENSG00000038427",1
"ENSG00000038532",2
"ENSG00000038945",2
"ENSG00000039068",2
"ENSG00000039123",2
"ENSG00000039139",2
"ENSG00000039319",2
"ENSG00000039523",1
"ENSG00000039537",1
"ENSG00000039560",2
"ENSG00000039600",2
"ENSG00000039650",2
"ENSG00000039987",2
"ENSG00000040199",2
"ENSG00000040275",2
"ENSG00000040341",2
"ENSG00000040487",2
"ENSG00000040531",2
"ENSG00000040608",2
"ENSG00000040633",1
"ENSG00000040731",2
"ENSG00000040933",2
"ENSG00000041353",2
"ENSG00000041357",1
"ENSG00000041515",2
"ENSG00000041802",2
"ENSG00000041880",2
"ENSG00000041982",1
"ENSG00000041988",2
"ENSG00000042062",1
"ENSG00000042088",2
"ENSG00000042286",2
"ENSG00000042304",2
"ENSG00000042317",2
"ENSG00000042429",2
"ENSG00000042445",2
"ENSG00000042493",2
"ENSG00000042753",1
"ENSG00000042781",2
"ENSG00000042813",2
"ENSG00000042832",2
"ENSG00000042980",2
"ENSG00000043039",2
"ENSG00000043093",2
"ENSG00000043143",2
"ENSG00000043355",1
"ENSG00000043462",2
"ENSG00000043514",2
"ENSG00000043591",2
"ENSG00000044012",2
"ENSG00000044090",1
"ENSG00000044115",1
"ENSG00000044446",2
"ENSG00000044459",2
"ENSG00000044524",2
"ENSG00000044574",3
"ENSG00000046604",1
"ENSG00000046647",2
"ENSG00000046651",2
"ENSG00000046653",1
"ENSG00000046774",2
"ENSG00000046889",2
"ENSG00000047056",2
"ENSG00000047188",2
"ENSG00000047230",2
"ENSG00000047249",2
"ENSG00000047315",1
"ENSG00000047346",2
"ENSG00000047365",2
"ENSG00000047410",1
"ENSG00000047457",3
"ENSG00000047578",2
"ENSG00000047579",2
"ENSG00000047597",2
"ENSG00000047617",2
"ENSG00000047621",2
"ENSG00000047634",2
"ENSG00000047644",2
"ENSG00000047648",2
"ENSG00000047662",2
"ENSG00000047849",1
"ENSG00000047932",1
"ENSG00000047936",2
"ENSG00000048028",1
"ENSG00000048052",2
"ENSG00000048140",1
"ENSG00000048162",2
"ENSG00000048342",2
"ENSG00000048392",2
"ENSG00000048405",2
"ENSG00000048462",2
"ENSG00000048471",2
"ENSG00000048540",2
"ENSG00000048544",1
"ENSG00000048545",2
"ENSG00000048649",2
"ENSG00000048707",2
"ENSG00000048740",1
"ENSG00000048828",1
"ENSG00000048991",1
"ENSG00000049089",2
"ENSG00000049130",2
"ENSG00000049167",2
"ENSG00000049192",2
"ENSG00000049239",2
"ENSG00000049245",1
"ENSG00000049246",2
"ENSG00000049247",2
"ENSG00000049249",2
"ENSG00000049283",2
"ENSG00000049323",1
"ENSG00000049449",1
"ENSG00000049540",3
"ENSG00000049541",1
"ENSG00000049618",2
"ENSG00000049656",2
"ENSG00000049759",2
"ENSG00000049768",2
"ENSG00000049769",2
"ENSG00000049860",2
"ENSG00000049883",2
"ENSG00000050030",2
"ENSG00000050130",2
"ENSG00000050165",3
"ENSG00000050327",2
"ENSG00000050344",2
"ENSG00000050393",2
"ENSG00000050405",2
"ENSG00000050426",2
"ENSG00000050438",2
"ENSG00000050555",2
"ENSG00000050628",2
"ENSG00000050730",2
"ENSG00000050748",2
"ENSG00000050767",2
"ENSG00000050820",2
"ENSG00000051009",2
"ENSG00000051108",1
"ENSG00000051128",2
"ENSG00000051180",2
"ENSG00000051341",2
"ENSG00000051382",2
"ENSG00000051523",1
"ENSG00000051596",2
"ENSG00000051620",2
"ENSG00000051825",2
"ENSG00000052126",2
"ENSG00000052344",2
"ENSG00000052723",2
"ENSG00000052749",2
"ENSG00000052795",2
"ENSG00000052802",3
"ENSG00000052841",2
"ENSG00000052850",2
"ENSG00000053108",2
"ENSG00000053254",2
"ENSG00000053328",2
"ENSG00000053371",1
"ENSG00000053372",2
"ENSG00000053438",4
"ENSG00000053501",2
"ENSG00000053524",2
"ENSG00000053702",2
"ENSG00000053747",2
"ENSG00000053770",2
"ENSG00000053900",2
"ENSG00000053918",2
"ENSG00000054116",1
"ENSG00000054118",1
"ENSG00000054148",1
"ENSG00000054179",2
"ENSG00000054219",2
"ENSG00000054267",2
"ENSG00000054277",2
"ENSG00000054282",2
"ENSG00000054356",2
"ENSG00000054392",2
"ENSG00000054523",1
"ENSG00000054598",1
"ENSG00000054611",2
"ENSG00000054654",2
"ENSG00000054690",2
"ENSG00000054793",1
"ENSG00000054796",2
"ENSG00000054803",2
"ENSG00000054938",2
"ENSG00000054965",1
"ENSG00000054967",2
"ENSG00000054983",2
"ENSG00000055044",1
"ENSG00000055070",1
"ENSG00000055118",1
"ENSG00000055130",1
"ENSG00000055147",2
"ENSG00000055163",1
"ENSG00000055208",1
"ENSG00000055211",1
"ENSG00000055332",2
"ENSG00000055483",2
"ENSG00000055609",2
"ENSG00000055732",2
"ENSG00000055813",2
"ENSG00000055917",1
"ENSG00000055950",1
"ENSG00000055955",2
"ENSG00000055957",3
"ENSG00000056050",1
"ENSG00000056097",1
"ENSG00000056277",2
"ENSG00000056291",2
"ENSG00000056487",2
"ENSG00000056558",2
"ENSG00000056586",2
"ENSG00000056736",2
"ENSG00000056972",2
"ENSG00000056998",2
"ENSG00000057019",2
"ENSG00000057149",2
"ENSG00000057252",2
"ENSG00000057294",1
"ENSG00000057468",2
"ENSG00000057593",2
"ENSG00000057608",3
"ENSG00000057657",2
"ENSG00000057663",2
"ENSG00000057704",2
"ENSG00000057757",1
"ENSG00000057935",2
"ENSG00000058056",2
"ENSG00000058063",2
"ENSG00000058085",2
"ENSG00000058091",2
"ENSG00000058262",3
"ENSG00000058272",2
"ENSG00000058335",2
"ENSG00000058404",1
"ENSG00000058453",2
"ENSG00000058600",2
"ENSG00000058668",1
"ENSG00000058673",1
"ENSG00000058729",2
"ENSG00000058799",2
"ENSG00000058804",2
"ENSG00000058866",2
"ENSG00000059122",2
"ENSG00000059145",2
"ENSG00000059377",2
"ENSG00000059378",2
"ENSG00000059573",1
"ENSG00000059588",2
"ENSG00000059691",2
"ENSG00000059728",2
"ENSG00000059758",2
"ENSG00000059769",2
"ENSG00000059804",1
"ENSG00000059915",1
"ENSG00000060069",2
"ENSG00000060138",2
"ENSG00000060140",2
"ENSG00000060237",1
"ENSG00000060339",1
"ENSG00000060491",2
"ENSG00000060558",2
"ENSG00000060566",1
"ENSG00000060642",2
"ENSG00000060656",2
"ENSG00000060688",2
"ENSG00000060709",2
"ENSG00000060718",2
"ENSG00000060749",2
"ENSG00000060762",3
"ENSG00000060971",1
"ENSG00000060982",2
"ENSG00000061273",2
"ENSG00000061337",2
"ENSG00000061455",2
"ENSG00000061492",2
"ENSG00000061656",2
"ENSG00000061676",2
"ENSG00000061794",1
"ENSG00000061918",1
"ENSG00000061936",2
"ENSG00000061938",2
"ENSG00000061987",2
"ENSG00000062038",2
"ENSG00000062096",2
"ENSG00000062194",1
"ENSG00000062282",2
"ENSG00000062370",2
"ENSG00000062485",1
"ENSG00000062524",2
"ENSG00000062582",2
"ENSG00000062598",1
"ENSG00000062650",2
"ENSG00000062716",1
"ENSG00000062725",2
"ENSG00000062822",2
"ENSG00000063015",1
"ENSG00000063046",3
"ENSG00000063127",2
"ENSG00000063169",2
"ENSG00000063176",2
"ENSG00000063177",3
"ENSG00000063180",3
"ENSG00000063241",2
"ENSG00000063244",1
"ENSG00000063245",1
"ENSG00000063322",1
"ENSG00000063438",2
"ENSG00000063515",2
"ENSG00000063587",2
"ENSG00000063601",2
"ENSG00000063660",1
"ENSG00000063761",2
"ENSG00000063854",1
"ENSG00000063978",2
"ENSG00000064012",2
"ENSG00000064042",2
"ENSG00000064102",2
"ENSG00000064115",2
"ENSG00000064195",2
"ENSG00000064199",2
"ENSG00000064201",1
"ENSG00000064205",2
"ENSG00000064218",2
"ENSG00000064225",2
"ENSG00000064270",2
"ENSG00000064300",2
"ENSG00000064309",2
"ENSG00000064313",2
"ENSG00000064393",1
"ENSG00000064419",1
"ENSG00000064490",2
"ENSG00000064545",2
"ENSG00000064547",1
"ENSG00000064601",1
"ENSG00000064607",1
"ENSG00000064651",2
"ENSG00000064652",2
"ENSG00000064655",2
"ENSG00000064666",1
"ENSG00000064687",2
"ENSG00000064692",2
"ENSG00000064703",2
"ENSG00000064726",1
"ENSG00000064763",2
"ENSG00000064787",2
"ENSG00000064835",2
"ENSG00000064886",2
"ENSG00000064932",2
"ENSG00000064933",2
"ENSG00000064961",2
"ENSG00000064989",2
"ENSG00000064995",1
"ENSG00000064999",1
"ENSG00000065000",1
"ENSG00000065029",2
"ENSG00000065054",1
"ENSG00000065057",2
"ENSG00000065060",2
"ENSG00000065135",1
"ENSG00000065150",1
"ENSG00000065154",1
"ENSG00000065183",2
"ENSG00000065243",2
"ENSG00000065268",1
"ENSG00000065308",2
"ENSG00000065320",2
"ENSG00000065325",2
"ENSG00000065328",2
"ENSG00000065357",2
"ENSG00000065361",2
"ENSG00000065371",2
"ENSG00000065413",2
"ENSG00000065427",1
"ENSG00000065457",2
"ENSG00000065485",2
"ENSG00000065491",2
"ENSG00000065518",3
"ENSG00000065526",1
"ENSG00000065534",2
"ENSG00000065548",1
"ENSG00000065559",2
"ENSG00000065600",2
"ENSG00000065609",1
"ENSG00000065613",2
"ENSG00000065615",2
"ENSG00000065618",2
"ENSG00000065621",2
"ENSG00000065665",2
"ENSG00000065675",2
"ENSG00000065717",1
"ENSG00000065802",2
"ENSG00000065809",2
"ENSG00000065833",2
"ENSG00000065882",2
"ENSG00000065883",2
"ENSG00000065911",2
"ENSG00000065923",2
"ENSG00000065970",2
"ENSG00000065978",4
"ENSG00000065989",2
"ENSG00000066027",1
"ENSG00000066032",2
"ENSG00000066044",1
"ENSG00000066056",2
"ENSG00000066084",2
"ENSG00000066117",1
"ENSG00000066135",1
"ENSG00000066136",2
"ENSG00000066185",2
"ENSG00000066230",2
"ENSG00000066248",1
"ENSG00000066279",2
"ENSG00000066294",2
"ENSG00000066322",1
"ENSG00000066336",2
"ENSG00000066379",2
"ENSG00000066382",2
"ENSG00000066405",2
"ENSG00000066422",2
"ENSG00000066427",2
"ENSG00000066455",1
"ENSG00000066468",2
"ENSG00000066557",2
"ENSG00000066583",1
"ENSG00000066629",2
"ENSG00000066651",2
"ENSG00000066654",2
"ENSG00000066697",2
"ENSG00000066735",2
"ENSG00000066739",2
"ENSG00000066777",2
"ENSG00000066813",1
"ENSG00000066827",2
"ENSG00000066855",2
"ENSG00000066923",2
"ENSG00000066926",1
"ENSG00000066933",2
"ENSG00000067048",2
"ENSG00000067057",1
"ENSG00000067064",1
"ENSG00000067066",2
"ENSG00000067082",1
"ENSG00000067113",1
"ENSG00000067141",1
"ENSG00000067167",1
"ENSG00000067177",2
"ENSG00000067182",1
"ENSG00000067191",2
"ENSG00000067208",2
"ENSG00000067221",2
"ENSG00000067225",3
"ENSG00000067248",2
"ENSG00000067334",2
"ENSG00000067365",2
"ENSG00000067369",1
"ENSG00000067445",1
"ENSG00000067533",2
"ENSG00000067560",3
"ENSG00000067596",2
"ENSG00000067606",1
"ENSG00000067646",2
"ENSG00000067704",1
"ENSG00000067715",3
"ENSG00000067798",2
"ENSG00000067829",1
"ENSG00000067836",1
"ENSG00000067840",3
"ENSG00000067842",2
"ENSG00000067900",2
"ENSG00000067955",2
"ENSG00000067992",2
"ENSG00000068001",2
"ENSG00000068024",2
"ENSG00000068028",2
"ENSG00000068078",1
"ENSG00000068079",2
"ENSG00000068097",2
"ENSG00000068120",1
"ENSG00000068137",2
"ENSG00000068305",1
"ENSG00000068308",1
"ENSG00000068323",2
"ENSG00000068354",2
"ENSG00000068366",1
"ENSG00000068383",1
"ENSG00000068394",2
"ENSG00000068400",1
"ENSG00000068438",2
"ENSG00000068489",2
"ENSG00000068615",1
"ENSG00000068650",2
"ENSG00000068654",2
"ENSG00000068697",3
"ENSG00000068724",2
"ENSG00000068745",1
"ENSG00000068784",2
"ENSG00000068796",1
"ENSG00000068831",2
"ENSG00000068878",2
"ENSG00000068885",2
"ENSG00000068903",2
"ENSG00000068912",1
"ENSG00000068971",1
"ENSG00000068976",2
"ENSG00000068985",2
"ENSG00000069011",2
"ENSG00000069018",2
"ENSG00000069020",2
"ENSG00000069122",2
"ENSG00000069188",2
"ENSG00000069206",2
"ENSG00000069248",1
"ENSG00000069275",3
"ENSG00000069329",1
"ENSG00000069345",1
"ENSG00000069399",2
"ENSG00000069424",2
"ENSG00000069431",2
"ENSG00000069482",2
"ENSG00000069493",2
"ENSG00000069509",2
"ENSG00000069535",1
"ENSG00000069667",2
"ENSG00000069696",2
"ENSG00000069702",2
"ENSG00000069712",2
"ENSG00000069764",2
"ENSG00000069812",2
"ENSG00000069849",1
"ENSG00000069869",2
"ENSG00000069943",2
"ENSG00000069956",1
"ENSG00000069966",2
"ENSG00000069974",2
"ENSG00000069998",2
"ENSG00000070010",2
"ENSG00000070018",2
"ENSG00000070019",2
"ENSG00000070031",2
"ENSG00000070047",2
"ENSG00000070061",1
"ENSG00000070081",2
"ENSG00000070087",3
"ENSG00000070159",2
"ENSG00000070182",1
"ENSG00000070190",2
"ENSG00000070193",2
"ENSG00000070214",2
"ENSG00000070269",2
"ENSG00000070366",2
"ENSG00000070367",2
"ENSG00000070371",2
"ENSG00000070388",2
"ENSG00000070404",1
"ENSG00000070413",1
"ENSG00000070423",2
"ENSG00000070444",2
"ENSG00000070476",2
"ENSG00000070495",2
"ENSG00000070501",1
"ENSG00000070526",2
"ENSG00000070540",2
"ENSG00000070601",2
"ENSG00000070610",1
"ENSG00000070614",1
"ENSG00000070669",1
"ENSG00000070718",2
"ENSG00000070729",2
"ENSG00000070731",2
"ENSG00000070748",2
"ENSG00000070756",3
"ENSG00000070759",2
"ENSG00000070761",1
"ENSG00000070770",2
"ENSG00000070778",2
"ENSG00000070785",2
"ENSG00000070808",1
"ENSG00000070814",2
"ENSG00000070831",3
"ENSG00000070882",2
"ENSG00000070886",2
"ENSG00000070915",1
"ENSG00000070950",2
"ENSG00000070961",1
"ENSG00000070985",2
"ENSG00000071051",1
"ENSG00000071054",1
"ENSG00000071073",2
"ENSG00000071082",3
"ENSG00000071127",1
"ENSG00000071189",2
"ENSG00000071203",2
"ENSG00000071205",2
"ENSG00000071242",2
"ENSG00000071243",2
"ENSG00000071246",1
"ENSG00000071282",2
"ENSG00000071462",2
"ENSG00000071537",2
"ENSG00000071539",2
"ENSG00000071553",1
"ENSG00000071564",1
"ENSG00000071575",1
"ENSG00000071626",2
"ENSG00000071655",1
"ENSG00000071677",2
"ENSG00000071794",1
"ENSG00000071859",1
"ENSG00000071889",2
"ENSG00000071894",1
"ENSG00000071909",2
"ENSG00000071967",1
"ENSG00000071991",2
"ENSG00000071994",2
"ENSG00000072041",2
"ENSG00000072042",1
"ENSG00000072062",1
"ENSG00000072071",1
"ENSG00000072080",3
